	bin number density	z
0	0.0	0.0
1	1.3631780737620982e-05	0.025252525252525252
2	0.00029428636384698606	0.050505050505050504
3	0.003248095089860934	0.07575757575757576
4	0.024919046559594264	0.10101010101010101
5	0.1427823035333333	0.12626262626262627
6	0.6177704698935381	0.15151515151515152
7	1.9926471345404642	0.17676767676767677
8	4.675993937871794	0.20202020202020202
9	7.743304354353445	0.22727272727272727
10	8.774722367295112	0.25252525252525254
11	6.72069881357374	0.2777777777777778
12	3.791537673926496	0.30303030303030304
13	2.2025771368499467	0.3282828282828283
14	1.5673728238363922	0.35353535353535354
15	0.9234994949344145	0.3787878787878788
16	0.339926911668029	0.40404040404040403
17	0.07050754132256452	0.4292929292929293
18	0.00774729383596596	0.45454545454545453
19	0.00042557659907932846	0.4797979797979798
20	1.1007376685052274e-05	0.5050505050505051
21	1.2591167333506932e-07	0.5303030303030303
22	5.967598553250343e-10	0.5555555555555556
23	1.0952905397110063e-12	0.5808080808080808
24	7.260333047005407e-16	0.6060606060606061
25	1.6177300883002255e-19	0.6313131313131313
26	1.1255608944809192e-23	0.6565656565656566
27	2.267382219135678e-28	0.6818181818181818
28	1.223907251965756e-33	0.7070707070707071
29	1.6353489007975172e-39	0.7323232323232323
30	4.9873583113295096e-46	0.7575757575757576
31	3.1950150066375956e-53	0.7828282828282828
32	3.9494748963918014e-61	0.8080808080808081
33	8.637037422307132e-70	0.8333333333333334
34	3.057826869402206e-79	0.8585858585858586
35	1.6007105436699153e-89	0.8838383838383839
36	1.1294230622864006e-100	0.9090909090909091
37	9.772314951860038e-113	0.9343434343434344
38	9.415590510634875e-126	0.9595959595959596
39	9.155401125797927e-140	0.9848484848484849
40	8.126702351836477e-155	1.0101010101010102
41	5.944867660119974e-171	1.0353535353535352
42	3.2292389093269885e-188	1.0606060606060606
43	1.1713391372320033e-206	1.0858585858585859
44	2.5464701490576104e-226	1.1111111111111112
45	2.972153330008682e-247	1.1363636363636362
46	1.665089994638226e-269	1.1616161616161615
47	3.9952964120265196e-293	1.1868686868686869
48	3.656437e-318	1.2121212121212122
49	0.0	1.2373737373737375
50	0.0	1.2626262626262625
51	0.0	1.2878787878787878
52	0.0	1.3131313131313131
53	0.0	1.3383838383838385
54	0.0	1.3636363636363635
55	0.0	1.3888888888888888
56	0.0	1.4141414141414141
57	0.0	1.4393939393939394
58	0.0	1.4646464646464645
59	0.0	1.4898989898989898
60	0.0	1.5151515151515151
61	0.0	1.5404040404040404
62	0.0	1.5656565656565655
63	0.0	1.5909090909090908
64	0.0	1.6161616161616161
65	0.0	1.6414141414141414
66	0.0	1.6666666666666667
67	0.0	1.6919191919191918
68	0.0	1.7171717171717171
69	0.0	1.7424242424242424
70	0.0	1.7676767676767677
71	0.0	1.7929292929292928
72	0.0	1.8181818181818181
73	0.0	1.8434343434343434
74	0.0	1.8686868686868687
75	0.0	1.8939393939393938
76	0.0	1.9191919191919191
77	0.0	1.9444444444444444
78	0.0	1.9696969696969697
79	0.0	1.9949494949494948
80	0.0	2.0202020202020203
81	0.0	2.0454545454545454
82	0.0	2.0707070707070705
83	0.0	2.095959595959596
84	0.0	2.121212121212121
85	0.0	2.1464646464646466
86	0.0	2.1717171717171717
87	0.0	2.196969696969697
88	0.0	2.2222222222222223
89	0.0	2.2474747474747474
90	0.0	2.2727272727272725
91	0.0	2.297979797979798
92	0.0	2.323232323232323
93	0.0	2.3484848484848486
94	0.0	2.3737373737373737
95	0.0	2.398989898989899
96	0.0	2.4242424242424243
97	0.0	2.4494949494949494
98	0.0	2.474747474747475
99	0.0	2.5
